date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:54:34	95/95	---M--	200	added ('OK')	text/plain	etag:%2295dd89277837218eb135ebea27293e40-ssl%22	https://fabulous-pegasus-7579b5.netlify.app/robots.txt		(from )
09:54:37	111364/111364	---MCZ	200	added ('OK')	text/html	etag:%2254c6c217f66d9647a03d80a707a933e6-ssl-df%22	https://fabulous-pegasus-7579b5.netlify.app/	C:/My%20Web%20Sites/https___fabulous-pegasus-7579b5.netlify.app_/fabulous-pegasus-7579b5.netlify.app/index.html	(from )
09:54:40	80998/80998	---M--	200	added ('OK')	image/jpeg	etag:%223181eca9c17b268ef8050b0d77c2c46c%22	https://uploads.quarkly.io/655ccff11d712a00232b9673/images/pwkb-blog-1024x576.jpg?v=2023-11-21T20:22:03.250Z	C:/My%20Web%20Sites/https___fabulous-pegasus-7579b5.netlify.app_/uploads.quarkly.io/655ccff11d712a00232b9673/images/pwkb-blog-1024x576e9f8.jpg	(from https://fabulous-pegasus-7579b5.netlify.app/)
09:54:43	50521/50521	---M--	200	added ('OK')	image/jpeg	etag:%221799abb2d68f8e05d0fc1070f0a43f82%22	https://uploads.quarkly.io/655ccff11d712a00232b9673/images/gettyimages-1403392120-1024x1024.jpg?v=2023-11-21T20:23:49.696Z	C:/My%20Web%20Sites/https___fabulous-pegasus-7579b5.netlify.app_/uploads.quarkly.io/655ccff11d712a00232b9673/images/gettyimages-1403392120-1024x1024413d.jpg	(from https://fabulous-pegasus-7579b5.netlify.app/)
09:54:44	206/206	---M--	200	added ('OK')	application/xml	etag:%22bf54c1670ec9fd1605c2b455e28330e4-ssl%22	https://fabulous-pegasus-7579b5.netlify.app/sitemap-index.xml	C:/My%20Web%20Sites/https___fabulous-pegasus-7579b5.netlify.app_/fabulous-pegasus-7579b5.netlify.app/sitemap-index.xml	(from https://fabulous-pegasus-7579b5.netlify.app/)
09:54:45	3993/3993	---MCZ	200	added ('OK')	application/javascript	etag:%22e7a41a42bf058ffd75a0b38e01c62621-ssl-df%22	https://fabulous-pegasus-7579b5.netlify.app/webpack-runtime-0a4b8b3800500b72a537.js	C:/My%20Web%20Sites/https___fabulous-pegasus-7579b5.netlify.app_/fabulous-pegasus-7579b5.netlify.app/webpack-runtime-0a4b8b3800500b72a537.js	(from https://fabulous-pegasus-7579b5.netlify.app/)
09:54:48	128821/128821	---MCZ	200	added ('OK')	application/javascript	etag:%225f2f62c8213fc53c5309cd3389e48955-ssl-df%22	https://fabulous-pegasus-7579b5.netlify.app/framework-4b37dfc14f34fafc9333.js	C:/My%20Web%20Sites/https___fabulous-pegasus-7579b5.netlify.app_/fabulous-pegasus-7579b5.netlify.app/framework-4b37dfc14f34fafc9333.js	(from https://fabulous-pegasus-7579b5.netlify.app/)
09:54:50	85921/85921	---MCZ	200	added ('OK')	application/javascript	etag:%222cd624b2e6ac1253e330fc075e10c867-ssl-df%22	https://fabulous-pegasus-7579b5.netlify.app/app-0b640bd976c18f463698.js	C:/My%20Web%20Sites/https___fabulous-pegasus-7579b5.netlify.app_/fabulous-pegasus-7579b5.netlify.app/app-0b640bd976c18f463698.js	(from https://fabulous-pegasus-7579b5.netlify.app/)
09:54:57	71091/71091	---MCZ	200	added ('OK')	application/javascript	etag:%2248faaa2a9e0faae95ff4b019d3b47383-ssl-df%22	https://fabulous-pegasus-7579b5.netlify.app/29107295-54a6937b505bb43f2888.js	C:/My%20Web%20Sites/https___fabulous-pegasus-7579b5.netlify.app_/fabulous-pegasus-7579b5.netlify.app/29107295-54a6937b505bb43f2888.js	(from https://fabulous-pegasus-7579b5.netlify.app/)
09:55:00	1271992/1271992	---MCZ	200	added ('OK')	application/javascript	etag:%22fe019ee3782e44426cf4616ed8fbee08-ssl-df%22	https://fabulous-pegasus-7579b5.netlify.app/1bfc9850-b1618e8e64562e78b6c5.js	C:/My%20Web%20Sites/https___fabulous-pegasus-7579b5.netlify.app_/fabulous-pegasus-7579b5.netlify.app/1bfc9850-b1618e8e64562e78b6c5.js	(from https://fabulous-pegasus-7579b5.netlify.app/)
